time,idx,valid_r2,test_r2,r2_gap,mse_ratio,nrmse_ratio,gate_pass,gate_reason
2025-08-12 16:18:18,1,0.781212138402995,0.7721232994835485,0.009088838919446451,1.03955524976133,1.02055954642487,False,
2025-08-12 16:18:20,2,0.781212138402995,0.7721232994835484,0.009088838919446562,1.03955524976133,1.02055954642487,False,
2025-08-12 16:18:22,3,0.5705004565181075,0.5596160276738477,0.010884428844259886,1.0233864793783436,1.0125917833486637,False,
2025-08-12 17:06:00,1,0.801038824567418,0.7480700851676958,0.05296873939972224,1.3223795624096386,1.1252673061078144,False,abs_gap
2025-08-12 17:06:02,2,0.801038824567418,0.7480700851676958,0.05296873939972224,1.322379562409639,1.1252673061078147,False,abs_gap
2025-08-12 17:06:04,3,0.6457650030255112,0.5062706621605488,0.13949434086496237,1.4556004974853447,1.1805890051953494,False,abs_gap
2025-08-12 17:15:53,1,0.801038824567418,0.7480700851676958,0.05296873939972224,1.3223795624096386,1.1252673061078144,True,ok
2025-08-12 17:15:56,2,0.801038824567418,0.7480700851676958,0.05296873939972224,1.322379562409639,1.1252673061078147,True,ok
2025-08-12 17:15:58,3,0.6457650030255112,0.506270662160549,0.13949434086496226,1.4556004974853443,1.1805890051953492,False,abs_gap
2025-08-12 18:21:55,1,0.804147525114792,0.7451721068290549,0.05897541828573716,1.3588221776123857,1.140667190391418,False,abs_gap
2025-08-12 18:21:57,2,0.804147525114792,0.745172106829055,0.05897541828573705,1.3588221776123854,1.140667190391418,False,abs_gap
2025-08-12 18:21:59,3,0.6457650030255112,0.5063292262818422,0.13943577674366903,1.4554278402062322,1.1805189848392554,False,abs_gap
2025-08-12 18:26:17,1,0.804147525114792,0.7451721068290551,0.058975418285736936,1.3588221776123852,1.1406671903914178,True,ok
2025-08-12 18:26:24,2,0.804147525114792,0.7451721068290551,0.058975418285736936,1.3588221776123852,1.1406671903914178,True,ok
2025-08-12 18:26:30,3,0.6457650030255112,0.5063292262818422,0.13943577674366903,1.4554278402062322,1.1805189848392554,False,abs_gap
2025-08-12 18:52:29,1,0.804147525114792,0.7451721068290549,0.05897541828573716,1.358822177612386,1.1406671903914183,True,ok
2025-08-12 18:52:31,2,0.804147525114792,0.7451721068290549,0.05897541828573716,1.3588221776123857,1.140667190391418,True,ok
2025-08-12 18:52:32,3,0.6457650030255112,0.5063292262818422,0.13943577674366903,1.4554278402062322,1.1805189848392554,False,abs_gap
2025-08-13 09:45:17,1,0.8087512077668375,0.6976521928101898,0.11109901495664776,1.8450557929669917,1.257343847428316,False,abs_gap
2025-08-13 09:45:18,2,0.8087512077668375,0.6976521928101896,0.11109901495664787,1.8450557929669922,1.257343847428316,False,abs_gap
2025-08-13 09:45:19,3,0.8087512077668375,0.6976521928101898,0.11109901495664776,1.8450557929669917,1.257343847428316,False,abs_gap
2025-08-13 09:45:21,4,0.8087512077668375,0.6976521928101896,0.11109901495664787,1.8450557929669922,1.257343847428316,False,abs_gap
2025-08-13 09:45:22,5,0.8087512077668375,0.6976521928101896,0.11109901495664787,1.8450557929669922,1.257343847428316,False,abs_gap
2025-08-13 09:45:24,6,0.8087512077668375,0.6976521928101896,0.11109901495664787,1.8450557929669922,1.257343847428316,False,abs_gap
2025-08-13 09:45:25,7,0.9782419121122612,0.9476383031238399,0.030603608988421294,2.808628942969208,1.551302501389185,False,abs_gap
2025-08-13 09:45:26,8,0.9782419121122612,0.9476383031238399,0.030603608988421294,2.808628942969208,1.551302501389185,False,abs_gap
2025-08-13 09:45:28,9,0.9782419121122612,0.9476383031238399,0.030603608988421294,2.808628942969208,1.551302501389185,False,abs_gap
2025-08-13 09:45:29,10,0.14057258583094345,0.14537836377372604,-0.004805777942782585,1.1605558957325888,0.9972001619947544,False,rel
2025-08-13 09:45:30,11,0.14057258583094345,0.14537836377372604,-0.004805777942782585,1.1605558957325888,0.9972001619947544,False,rel
2025-08-13 09:45:32,12,0.14057258583094345,0.14537836377372593,-0.004805777942782474,1.160555895732589,0.9972001619947544,False,rel
2025-08-13 10:02:36,1,0.8087512077668375,0.7016289631354771,0.10712224463136044,1.820787837481657,1.2490475767651124,False,abs_gap
2025-08-13 10:02:38,2,0.793309090266968,0.7016289631354771,0.09168012713149098,1.6847546671548077,1.2014830362212683,False,abs_gap
2025-08-13 10:02:40,3,0.7916514074410342,0.7016289631354771,0.09002244430555717,1.6713502623380876,1.196693814458783,False,abs_gap
2025-08-13 10:02:45,4,0.8087512077668375,0.7016289631354771,0.10712224463136044,1.820787837481657,1.2490475767651124,False,abs_gap
2025-08-13 10:02:47,5,0.793309090266968,0.7016289631354771,0.09168012713149098,1.6847546671548077,1.2014830362212683,False,abs_gap
2025-08-13 10:02:48,6,0.7916514074410342,0.7016289631354771,0.09002244430555717,1.6713502623380876,1.196693814458783,False,abs_gap
2025-08-13 10:02:49,7,0.9782419121122612,0.9476383031238399,0.030603608988421294,2.808628942969208,1.551302501389185,False,hard_fail_ratio
2025-08-13 10:02:50,8,0.9782419121122612,0.9476383031238399,0.030603608988421294,2.808628942969208,1.551302501389185,False,hard_fail_ratio
2025-08-13 10:02:52,9,0.9782419121122612,0.9476383031238399,0.030603608988421294,2.808628942969208,1.551302501389185,False,hard_fail_ratio
2025-08-13 10:02:53,10,0.14344327053996964,0.1429016620336947,0.0005416085062749376,1.1678199845426034,1.0003161045257905,False,floor
2025-08-13 10:02:54,11,0.14344327053996964,0.1429016620336947,0.0005416085062749376,1.1678199845426034,1.0003161045257905,False,floor
